bibliography.title,metadata.url,bibliography.author.name,bibliography.publication.full
A Complete Guide to Heraldry,https://www.gutenberg.org/ebooks/41617,"Fox-Davies, Arthur Charles",13-Dec-12
Max und Moritz: Eine Bubengeschichte in sieben Streichen,https://www.gutenberg.org/ebooks/17161,"Busch, Wilhelm",21-Dec-05
The Poetics of Aristotle,https://www.gutenberg.org/ebooks/1974,Aristotle,"November, 1999"
Ghosts,https://www.gutenberg.org/ebooks/8121,"Ibsen, Henrik","May, 2005"
Struwwelpeter: Merry Stories and Funny Pictures,https://www.gutenberg.org/ebooks/12116,"Hoffmann, Heinrich",23-Apr-04
Youth,https://www.gutenberg.org/ebooks/31547,"Asimov, Isaac",7-Mar-10
Plain Tales from the Hills,https://www.gutenberg.org/ebooks/1858,"Kipling, Rudyard","August, 1999"
The Invisible Man: A Grotesque Romance,https://www.gutenberg.org/ebooks/5230,"Wells, H. G. (Herbert George)",7-Oct-04
Utilitarianism,https://www.gutenberg.org/ebooks/11224,"Mill, John Stuart",22-Feb-04
Novo dicion�rio da l�ngua portuguesa,https://www.gutenberg.org/ebooks/31552,"Figueiredo, Candido de",2-Apr-10
Beasts and Super-Beasts,https://www.gutenberg.org/ebooks/269,Saki,26-Dec-11
"The History of Prostitution: Its Extent, Causes, and Effects throughout the World",https://www.gutenberg.org/ebooks/41873,"Sanger, William W.",19-Jan-13
A Journey to the Centre of the Earth,https://www.gutenberg.org/ebooks/18857,"Verne, Jules",18-Jul-06
A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library,https://www.gutenberg.org/ebooks/12513,"Dewey, Melvil",4-Jun-04
The Theory of the Leisure Class,https://www.gutenberg.org/ebooks/833,"Veblen, Thorstein","March, 1997"
Ivanhoe: A Romance,https://www.gutenberg.org/ebooks/82,"Scott, Walter","September, 1993"
Notre-Dame De Paris,https://www.gutenberg.org/ebooks/2610,"Hugo, Victor","April, 2001"
"Lineage, Life and Labors of Jos� Rizal, Philippine Patriot",https://www.gutenberg.org/ebooks/6867,"Craig, Austin",18-Jun-04
The Valley of Fear,https://www.gutenberg.org/ebooks/3289,"Doyle, Arthur Conan","June, 2002"
The Island of Doctor Moreau,https://www.gutenberg.org/ebooks/159,"Wells, H. G. (Herbert George)",14-Oct-04
Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson,https://www.gutenberg.org/ebooks/28885,"Carroll, Lewis",19-May-09
The Man Outside,https://www.gutenberg.org/ebooks/51337,"Smith, Evelyn E.",1-Mar-16
The Last of the Mohicans; A narrative of 1757,https://www.gutenberg.org/ebooks/940,"Cooper, James Fenimore",5-Feb-06
The Adventures of Pinocchio,https://www.gutenberg.org/ebooks/500,"Collodi, Carlo",12-Jan-06
"The Spectator, Volumes 1, 2 and 3: With Translations and Index for the Series",https://www.gutenberg.org/ebooks/12030,"Steele, Richard, Sir",14-Apr-04
The Jungle Book,https://www.gutenberg.org/ebooks/35997,"Kipling, Rudyard",30-Apr-11
The Sense of Wonder,https://www.gutenberg.org/ebooks/51296,"Marlowe, Stephen",24-Feb-16
China and Pottery Marks,https://www.gutenberg.org/ebooks/40311,Unknown,24-Jul-12
Aesop's Fables; a new translation,https://www.gutenberg.org/ebooks/11339,Aesop,27-Feb-04
Essays by Ralph Waldo Emerson,https://www.gutenberg.org/ebooks/16643,"Emerson, Ralph Waldo",4-Sep-05
Encyclopedia of Needlework,https://www.gutenberg.org/ebooks/20776,"Dillmont, Therese de",8-Mar-07
"Chaucer's Works, Volume 4 (of 7) � The Canterbury Tales",https://www.gutenberg.org/ebooks/22120,"Chaucer, Geoffrey",22-Jul-07
White Fang,https://www.gutenberg.org/ebooks/910,"London, Jack",16-Mar-05
"Mosses from an Old Manse, and Other Stories",https://www.gutenberg.org/ebooks/512,"Hawthorne, Nathaniel","April, 1996"
The Mayor of Casterbridge,https://www.gutenberg.org/ebooks/143,"Hardy, Thomas",28-May-07
"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",https://www.gutenberg.org/ebooks/16966,"Bradley, A. C. (Andrew Cecil)",30-Oct-05
The Waste Land,https://www.gutenberg.org/ebooks/1321,"Eliot, T. S. (Thomas Stearns)",1-Jan-22
My Antonia,https://www.gutenberg.org/ebooks/242,"Cather, Willa",8-Jul-08
Florante at Laura,https://www.gutenberg.org/ebooks/15845,"Balagtas, Francisco",17-May-05
Apology,https://www.gutenberg.org/ebooks/1656,Plato,"February, 1999"
"Bartleby, the Scrivener: A Story of Wall-Street",https://www.gutenberg.org/ebooks/11231,"Melville, Herman",23-Feb-04
Far from the Madding Crowd,https://www.gutenberg.org/ebooks/27,"Hardy, Thomas","March, 1992"
History of the Decline and Fall of the Roman Empire � Volume 1,https://www.gutenberg.org/ebooks/731,"Gibbon, Edward","November, 1996"
The Lady with the Dog and Other Stories,https://www.gutenberg.org/ebooks/13415,"Chekhov, Anton Pavlovich",9-Sep-04
Filipino Popular Tales,https://www.gutenberg.org/ebooks/8299,Unknown,"June, 2005"
Antiquities of the Jews,https://www.gutenberg.org/ebooks/2848,"Josephus, Flavius","October, 2001"
The Secret Agent: A Simple Tale,https://www.gutenberg.org/ebooks/974,"Conrad, Joseph",24-Dec-10
The Raven,https://www.gutenberg.org/ebooks/17192,"Poe, Edgar Allan",30-Nov-05
The Iliad,https://www.gutenberg.org/ebooks/2199,Homer,"June, 2000"
"The Mysterious Stranger, and Other Stories",https://www.gutenberg.org/ebooks/3186,"Twain, Mark",19-Aug-06
How?: or Spare Hours Made Profitable for Boys and Girls,https://www.gutenberg.org/ebooks/51315,"Holbrook, Kennedy",27-Feb-16
Laura Middleton; Her Brother and her Lover,https://www.gutenberg.org/ebooks/28522,Anonymous,6-Apr-09
Biographia Literaria,https://www.gutenberg.org/ebooks/6081,"Coleridge, Samuel Taylor","July, 2004"
"Incidents in the Life of a Slave Girl, Written by Herself",https://www.gutenberg.org/ebooks/11030,"Jacobs, Harriet A. (Harriet Ann)",11-Feb-04
"How To Write Special Feature Articles: A Handbook for Reporters, Correspondents and Free-Lance Writers Who Desire to Contribute to Popular Magazines and Magazine Sections of Newspapers",https://www.gutenberg.org/ebooks/15718,"Bleyer, Willard Grosvenor",26-Apr-05
The Pickwick Papers,https://www.gutenberg.org/ebooks/580,"Dickens, Charles","January 1, 1837"
The House of Mirth,https://www.gutenberg.org/ebooks/284,"Wharton, Edith",3-Apr-08
A Little Princess: Being the whole story of Sara Crewe now told for the first time,https://www.gutenberg.org/ebooks/146,"Burnett, Frances Hodgson",19-Jun-08
My Lady Greensleeves,https://www.gutenberg.org/ebooks/51310,"Pohl, Frederik",27-Feb-16
"1000 Mythological Characters Briefly Described: Adapted to Private Schools, High Schools and Academies",https://www.gutenberg.org/ebooks/42474,"Ellis, Edward Sylvester",7-Apr-13
Women in Love,https://www.gutenberg.org/ebooks/4240,"Lawrence, D. H. (David Herbert)","July, 2003"
An Enemy of the People,https://www.gutenberg.org/ebooks/2446,"Ibsen, Henrik","December, 2000"
Palmistry for All,https://www.gutenberg.org/ebooks/20480,Cheiro,29-Jan-07
The Person and Work of The Holy Spirit,https://www.gutenberg.org/ebooks/30241,"Torrey, R. A. (Reuben Archer)",13-Oct-09
Best Russian Short Stories,https://www.gutenberg.org/ebooks/13437,Unknown,11-Sep-04
Faust: Der Trag�die erster Teil,https://www.gutenberg.org/ebooks/2229,"Goethe, Johann Wolfgang von",Jun-00
The Thirty-Nine Steps,https://www.gutenberg.org/ebooks/558,"Buchan, John","June, 1996"
Webster's Unabridged Dictionary,https://www.gutenberg.org/ebooks/29765,Various,22-Aug-09
Flatland: A Romance of Many Dimensions (Illustrated),https://www.gutenberg.org/ebooks/201,"Abbott, Edwin Abbott",10-Mar-08
What Is Man? and Other Essays,https://www.gutenberg.org/ebooks/70,"Twain, Mark","June, 1993"
"The History of Don Quixote, Volume 1, Complete",https://www.gutenberg.org/ebooks/5921,"Cervantes Saavedra, Miguel de",19-Jul-04
"Right Ho, Jeeves",https://www.gutenberg.org/ebooks/10554,"Wodehouse, P. G. (Pelham Grenville)",29-Jun-07
Dr. Kometevsky's Day,https://www.gutenberg.org/ebooks/51353,"Leiber, Fritz",5-Mar-16
The Best American Humorous Short Stories,https://www.gutenberg.org/ebooks/10947,Unknown,5-Feb-04
Silas Marner,https://www.gutenberg.org/ebooks/550,"Eliot, George","June, 1996"
The Vampyre; a Tale,https://www.gutenberg.org/ebooks/6087,"Polidori, John William","July, 2004"
Relativity : the Special and General Theory,https://www.gutenberg.org/ebooks/5001,"Einstein, Albert","February, 2004"
"The Dor� Bible Gallery, Complete: Containing One Hundred Superb Illustrations, and a Page of Explanatory Letter-press Facing Each",https://www.gutenberg.org/ebooks/8710,Unknown,29-Jul-04
The Literary World Seventh Reader,https://www.gutenberg.org/ebooks/19721,Unknown,5-Nov-06
The Innocence of Father Brown,https://www.gutenberg.org/ebooks/204,"Chesterton, G. K. (Gilbert Keith)",6-Jul-08
"Electricity in Locomotion: An Account of its Mechanism, its Achievements, and its Prospects",https://www.gutenberg.org/ebooks/51242,"Whyte, Adam Gowens",17-Feb-16
Kim,https://www.gutenberg.org/ebooks/2226,"Kipling, Rudyard","June, 2000"
Irish Fairy Tales,https://www.gutenberg.org/ebooks/2892,"Stephens, James","November, 2001"
My Bondage and My Freedom,https://www.gutenberg.org/ebooks/202,"Douglass, Frederick",1-Jul-08
"Captain Cook's Journal During His First Voyage Round the World: Made in H. M. Bark ""Endeavour"", 1768-71",https://www.gutenberg.org/ebooks/8106,"Cook, James","May, 2005"
Black Beauty,https://www.gutenberg.org/ebooks/271,"Sewell, Anna",16-Jan-06
De Profundis,https://www.gutenberg.org/ebooks/921,"Wilde, Oscar",13-Apr-07
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,https://www.gutenberg.org/ebooks/11136,"Rousseau, Jean-Jacques",17-Feb-04
The Middle-Class Gentleman,https://www.gutenberg.org/ebooks/2992,Moliere,"October, 2001"
The Alchemist,https://www.gutenberg.org/ebooks/4081,"Jonson, Ben","May, 2003"
Poems,https://www.gutenberg.org/ebooks/8775,"Hugo, Victor","August, 2005"
The Rape of the Lock and Other Poems,https://www.gutenberg.org/ebooks/9800,"Pope, Alexander","January, 2006"
Aesop's Fables: Translated by George Fyler Townsend,https://www.gutenberg.org/ebooks/21,Aesop,30-Sep-91
Democracy in America � Volume 2,https://www.gutenberg.org/ebooks/816,"Tocqueville, Alexis de",21-Jan-06
"The Story of My Life: With her letters (1887-1901) and a supplementary account of her education, including passages from the reports and letters of her teacher, Anne Mansfield Sullivan, by John Albert Macy",https://www.gutenberg.org/ebooks/2397,"Keller, Helen","November, 2000"
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",https://www.gutenberg.org/ebooks/383,"Goldsmith, Oliver","December, 1995"
The Scarlet Pimpernel,https://www.gutenberg.org/ebooks/60,"Orczy, Emmuska Orczy, Baroness",7-Mar-06
The Poems and Prose Poems of Charles Baudelaire: with an Introductory Preface by James Huneker,https://www.gutenberg.org/ebooks/36287,"Baudelaire, Charles",31-May-11
The Rime of the Ancient Mariner,https://www.gutenberg.org/ebooks/151,"Coleridge, Samuel Taylor",11-Mar-06
The Frontier in American History,https://www.gutenberg.org/ebooks/22994,"Turner, Frederick Jackson",14-Oct-07
Moby Dick,https://www.gutenberg.org/ebooks/15,"Melville, Herman","May, 1991"
Buddenbrooks: Verfall einer Familie,https://www.gutenberg.org/ebooks/34811,"Mann, Thomas",1-Jan-11
A Little Journey,https://www.gutenberg.org/ebooks/51171,"Bradbury, Ray",10-Feb-16
Vanity Fair,https://www.gutenberg.org/ebooks/599,"Thackeray, William Makepeace","July, 1996"
Birds of a Feather,https://www.gutenberg.org/ebooks/51361,"Silverberg, Robert",5-Mar-16
Autobiography of a Yogi,https://www.gutenberg.org/ebooks/7452,"Yogananda, Paramahansa","February, 2005"
Nine Thousand Miles On A Pullman Train: An Account of a Tour of Railroad Conductors From; Philadelphia to the Pacific Coast an Return,https://www.gutenberg.org/ebooks/51341,"Shaw, Milton",2-Mar-16
Dream Psychology: Psychoanalysis for Beginners,https://www.gutenberg.org/ebooks/15489,"Freud, Sigmund",28-Mar-05
The Pilot and the Bushman,https://www.gutenberg.org/ebooks/51297,"Jacobs, Sylvia",1-Mar-16
Beautiful Stories from Shakespeare,https://www.gutenberg.org/ebooks/1430,"Shakespeare, William","August, 1998"
The Works of Edgar Allan Poe � Volume 3,https://www.gutenberg.org/ebooks/2149,"Poe, Edgar Allan",19-May-08
Daisy Miller: A Study,https://www.gutenberg.org/ebooks/208,"James, Henry",3-Jul-08
Peter and Wendy,https://www.gutenberg.org/ebooks/26654,"Barrie, J. M. (James Matthew)",18-Sep-08
"Personal Memoirs of U. S. Grant, Complete",https://www.gutenberg.org/ebooks/4367,"Grant, Ulysses S. (Ulysses Simpson)",16-Aug-06
"Trial of the Major War Criminals Before the International Military Tribunal, Vol. I: Nuremburg 14 November 1945-1 October 1946: Vol. I",https://www.gutenberg.org/ebooks/51292,Various,24-Feb-16
"The Black Man, the Father of Civilization, Proven by Biblical History",https://www.gutenberg.org/ebooks/39509,"Webb, James Morris",22-Apr-12
The Autobiography of a Super-Tramp,https://www.gutenberg.org/ebooks/51425,"Davies, W. H. (William Henry)",11-Mar-16
The Enchiridion,https://www.gutenberg.org/ebooks/45109,Epictetus,10-Mar-14
History  of the World War: An Authentic Narrative of the World's Greatest War,https://www.gutenberg.org/ebooks/18993,"March, Francis Andrew",6-Aug-06
Confidence Game,https://www.gutenberg.org/ebooks/51305,"Harmon, Jim",26-Feb-16
Confessions of an English Opium-Eater,https://www.gutenberg.org/ebooks/2040,"De Quincey, Thomas",20-Apr-05
The Antichrist,https://www.gutenberg.org/ebooks/19322,"Nietzsche, Friedrich Wilhelm",18-Sep-06
A Short History of the World,https://www.gutenberg.org/ebooks/35461,"Wells, H. G. (Herbert George)",2-Mar-11
The Phantom of the Opera,https://www.gutenberg.org/ebooks/175,"Leroux, Gaston",9-Jun-08
Three Contributions to the Theory of Sex,https://www.gutenberg.org/ebooks/14969,"Freud, Sigmund",8-Feb-05
The Varieties of Religious Experience: A Study in Human Nature,https://www.gutenberg.org/ebooks/621,"James, William",17-Oct-14
She,https://www.gutenberg.org/ebooks/3155,"Haggard, H. Rider (Henry Rider)",4-Apr-06
1811 Dictionary of the Vulgar Tongue,https://www.gutenberg.org/ebooks/5402,"Grose, Francis","April, 2004"
"Poems by Emily Dickinson, Three Series, Complete",https://www.gutenberg.org/ebooks/12242,"Dickinson, Emily",3-May-04
Poems,https://www.gutenberg.org/ebooks/1567,"Eliot, T. S. (Thomas Stearns)","December, 1998"
"On Heroes, Hero-Worship, and the Heroic in History",https://www.gutenberg.org/ebooks/1091,"Carlyle, Thomas","November, 1997"
"Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan",https://www.gutenberg.org/ebooks/17116,"Rizal, Jose",20-Nov-05
Patty's Fortune,https://www.gutenberg.org/ebooks/51354,"Wells, Carolyn",4-Mar-16
"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",https://www.gutenberg.org/ebooks/2850,"Josephus, Flavius",10-Jan-09
"The Origin of Species by Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition",https://www.gutenberg.org/ebooks/2009,"Darwin, Charles","December, 1999"
The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.],https://www.gutenberg.org/ebooks/23042,"Shakespeare, William",26-Oct-07
The Ignoble Savages,https://www.gutenberg.org/ebooks/51413,"Smith, Evelyn E.",10-Mar-16
On the Nature of Things,https://www.gutenberg.org/ebooks/785,"Lucretius Carus, Titus","January, 1997"
"The Outline of Science, Vol. 1 (of 4): A Plain Story Simply Told",https://www.gutenberg.org/ebooks/20417,"Thomson, J. Arthur (John Arthur)",22-Jan-07
Pride and Prejudice,https://www.gutenberg.org/ebooks/42671,"Austen, Jane",9-May-13
Medea of Euripides,https://www.gutenberg.org/ebooks/35451,Euripides,2-Mar-11
"Volpone; Or, The Fox",https://www.gutenberg.org/ebooks/4039,"Jonson, Ben","May, 2003"
"The life of Midhat Pasha; a record of his services, political reforms, banishment, and judicial murder",https://www.gutenberg.org/ebooks/51243,Ali Haydar Mithat,17-Feb-16
Othello,https://www.gutenberg.org/ebooks/2267,"Shakespeare, William","January 1, 1622"
The Pride of Jennico: Being a Memoir of Captain Basil Jennico,https://www.gutenberg.org/ebooks/51238,"Castle, Egerton",17-Feb-16
Make Me An Offer,https://www.gutenberg.org/ebooks/51311,"Blomberg, Con",27-Feb-16
People Soup,https://www.gutenberg.org/ebooks/51397,"Arkin, Alan",8-Mar-16
"The Mantle, and Other Stories",https://www.gutenberg.org/ebooks/36238,"Gogol, Nikolai Vasilevich",27-May-11
Gorgias,https://www.gutenberg.org/ebooks/1672,Plato,"March, 1999"
The Playboy of the Western World: A Comedy in Three Acts,https://www.gutenberg.org/ebooks/1240,"Synge, J. M. (John Millington)","March, 1998"
Sea Legs,https://www.gutenberg.org/ebooks/51407,"Quattrocchi, Frank",9-Mar-16
Phaedo,https://www.gutenberg.org/ebooks/1658,Plato,"March, 1999"
Der Tod in Venedig,https://www.gutenberg.org/ebooks/12108,"Mann, Thomas",22-Apr-04
Our Mutual Friend,https://www.gutenberg.org/ebooks/883,"Dickens, Charles",27-Apr-06
The Spicy Sound of Success,https://www.gutenberg.org/ebooks/51351,"Harmon, Jim",3-Mar-16
"Boy Scouts Handbook: The First Edition, 1911",https://www.gutenberg.org/ebooks/29558,Boy Scouts of America,1-Aug-09
The Ethics of Aristotle,https://www.gutenberg.org/ebooks/8438,Aristotle,"July, 2005"
The Great God Pan,https://www.gutenberg.org/ebooks/389,"Machen, Arthur","January, 1996"
The Writings of Thomas Paine � Volume 4 (1794-1796): The Age of Reason,https://www.gutenberg.org/ebooks/3743,"Paine, Thomas","February, 2003"
"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",https://www.gutenberg.org/ebooks/15043,"Burke, Edmund",27-Mar-05
Pragmatism: A New Name for Some Old Ways of Thinking,https://www.gutenberg.org/ebooks/5116,"James, William","February, 2004"
Angel's Egg,https://www.gutenberg.org/ebooks/51408,"Pangborn, Edgar",9-Mar-16
The Man Who Was Thursday: A Nightmare,https://www.gutenberg.org/ebooks/1695,"Chesterton, G. K. (Gilbert Keith)","April, 1999"
A Woman of No Importance,https://www.gutenberg.org/ebooks/854,"Wilde, Oscar",16-Sep-14
The History of Herodotus � Volume 1,https://www.gutenberg.org/ebooks/2707,Herodotus,"July, 2001"
Arms and the Man,https://www.gutenberg.org/ebooks/3618,"Shaw, Bernard","January, 2003"
The Republic,https://www.gutenberg.org/ebooks/150,Plato,22-May-08
"Plays by Anton Chekhov, Second Series",https://www.gutenberg.org/ebooks/7986,"Chekhov, Anton Pavlovich","April, 2005"
The Duchess of Malfi,https://www.gutenberg.org/ebooks/2232,"Webster, John","June, 2000"
"Submarines, Mines and Torpedoes in the War",https://www.gutenberg.org/ebooks/51347,"Domville-Fife, Charles William",3-Mar-16
Survival Type,https://www.gutenberg.org/ebooks/51395,"Bone, Jesse F. (Jesse Franklin)",8-Mar-16
A Touch of E Flat,https://www.gutenberg.org/ebooks/51304,"Gibson, Joe",26-Feb-16
Fresh Air Fiend,https://www.gutenberg.org/ebooks/51335,"Neville, Kris",1-Mar-16
The Eyes Have It,https://www.gutenberg.org/ebooks/31516,"Dick, Philip K.",6-Mar-10
King Solomon's Mines,https://www.gutenberg.org/ebooks/2166,"Haggard, H. Rider (Henry Rider)",11-Oct-05
Beyond the Door,https://www.gutenberg.org/ebooks/28644,"Dick, Philip K.",30-Apr-09
"What Men Live By, and Other Tales",https://www.gutenberg.org/ebooks/6157,"Tolstoy, Leo, graf","July, 2004"
Der Struwwelpeter: oder lustige Geschichten und drollige Bilder,https://www.gutenberg.org/ebooks/24571,"Hoffmann, Heinrich",11-Feb-08
The Aesop for Children: With pictures by Milo Winter,https://www.gutenberg.org/ebooks/19994,Aesop,2-Dec-06
The Possessed (The Devils),https://www.gutenberg.org/ebooks/8117,"Dostoyevsky, Fyodor","May, 2005"
The Fairy Tales of Charles Perrault,https://www.gutenberg.org/ebooks/29021,"Perrault, Charles",1-Jun-09
The Secret Garden,https://www.gutenberg.org/ebooks/17396,"Burnett, Frances Hodgson",26-Dec-05
"The National Geographic Magazine, Vol. II., No. 2, May, 1890",https://www.gutenberg.org/ebooks/51382,Various,6-Mar-16
"The Journals of Lewis and Clark, 1804-1806",https://www.gutenberg.org/ebooks/8419,"Clark, William","July, 2005"
An Enquiry Concerning the Principles of Morals,https://www.gutenberg.org/ebooks/4320,"Hume, David",12-Jan-10
The Iron Heel,https://www.gutenberg.org/ebooks/1164,"London, Jack",3-May-06
A Journal of the Plague Year: Written by a Citizen Who Continued All the While in London,https://www.gutenberg.org/ebooks/376,"Defoe, Daniel",16-Jan-06
Bede's Ecclesiastical History of England,https://www.gutenberg.org/ebooks/38326,"Bede, the Venerable, Saint",17-Dec-11
As a Man Thinketh,https://www.gutenberg.org/ebooks/4507,"Allen, James","October, 2003"
Inside Earth,https://www.gutenberg.org/ebooks/51184,"Anderson, Poul",11-Feb-16
"Bushido, the Soul of Japan",https://www.gutenberg.org/ebooks/12096,"Nitobe, Inazo",21-Apr-04
The Red Room,https://www.gutenberg.org/ebooks/23218,"Wells, H. G. (Herbert George)",27-Oct-07
The Blue Fairy Book,https://www.gutenberg.org/ebooks/503,"Lang, Andrew","April, 1996"
Citizen Jell,https://www.gutenberg.org/ebooks/51342,"Shaara, Michael",2-Mar-16
Nationalism,https://www.gutenberg.org/ebooks/40766,"Tagore, Rabindranath",15-Sep-12
Anne of the Island,https://www.gutenberg.org/ebooks/51,"Montgomery, L. M. (Lucy Maud)",7-Mar-06
Villette,https://www.gutenberg.org/ebooks/9182,"Bronte, Charlotte","October, 2005"
The Poetical Works of William Wordsworth � Volume 3,https://www.gutenberg.org/ebooks/12383,"Wordsworth, William",19-May-04
The Mysterious Island,https://www.gutenberg.org/ebooks/1268,"Verne, Jules","April, 1998"
The Canterville Ghost,https://www.gutenberg.org/ebooks/14522,"Wilde, Oscar",30-Dec-04
Prime Difference,https://www.gutenberg.org/ebooks/51321,"Nourse, Alan Edward",28-Feb-16
Adventures of Sherlock Holmes: Illustrated,https://www.gutenberg.org/ebooks/48320,"Doyle, Arthur Conan",20-Feb-15
The Man in the Iron Mask,https://www.gutenberg.org/ebooks/2759,"Dumas, Alexandre","August, 2001"
Poems and Songs of Robert Burns,https://www.gutenberg.org/ebooks/1279,"Burns, Robert",25-Jan-05
Man in a Quandary,https://www.gutenberg.org/ebooks/51421,"Wesley, Joseph",11-Mar-16
"Opticks: Or, A Treatise of the Reflections, Refractions, Inflections, and Colours of Light",https://www.gutenberg.org/ebooks/33504,"Newton, Isaac, Sir",23-Aug-10
The Gilded Age: A Tale of Today,https://www.gutenberg.org/ebooks/3178,"Twain, Mark","January 1, 1873"
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,https://www.gutenberg.org/ebooks/24518,"Mackay, Charles",5-Feb-08
The House of the Seven Gables,https://www.gutenberg.org/ebooks/77,"Hawthorne, Nathaniel",17-Jun-08
Simple Sabotage Field Manual,https://www.gutenberg.org/ebooks/26184,United States. Office of Strategic Services,4-Aug-08
"Life in the Iron-Mills; Or, The Korl Woman",https://www.gutenberg.org/ebooks/876,"Davis, Rebecca Harding",Apr-97
Time In the Round,https://www.gutenberg.org/ebooks/51380,"Leiber, Fritz",6-Mar-16
Anne of Avonlea,https://www.gutenberg.org/ebooks/47,"Montgomery, L. M. (Lucy Maud)",7-Mar-06
Japanese Fairy Tales,https://www.gutenberg.org/ebooks/4018,"Ozaki, Yei Theodora","May, 2003"
The Monk: A Romance,https://www.gutenberg.org/ebooks/601,"Lewis, M. G. (Matthew Gregory)","July, 1996"
Indian Fairy Tales,https://www.gutenberg.org/ebooks/7128,Unknown,13-Mar-03
"Historia de Venezuela, Tomo I",https://www.gutenberg.org/ebooks/39947,"Aguado, Pedro de, active 16th century",8-Jun-12
Public School Life: Boys Masters Parents,https://www.gutenberg.org/ebooks/51409,"Waugh, Alec",9-Mar-16
The Campaign in Russian Poland,https://www.gutenberg.org/ebooks/51411,"Standing, Percy Cross",9-Mar-16
Also sprach Zarathustra: Ein Buch f�r Alle und Keinen,https://www.gutenberg.org/ebooks/7205,"Nietzsche, Friedrich Wilhelm","January, 2005"
Double Standard,https://www.gutenberg.org/ebooks/51363,"Coppel, Alfred",5-Mar-16
The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States,https://www.gutenberg.org/ebooks/14977,"Wells-Barnett, Ida B.",8-Feb-05
The Elementary Forms of the Religious Life,https://www.gutenberg.org/ebooks/41360,"Durkheim, Emile",13-Nov-12
The Works of Edgar Allan Poe � Volume 5,https://www.gutenberg.org/ebooks/2151,"Poe, Edgar Allan",19-May-08
Paradise Lost,https://www.gutenberg.org/ebooks/26,"Milton, John","February, 1992"
On the Sublime,https://www.gutenberg.org/ebooks/17957,"Longinus, 1st cent.",10-Mar-06
Break a Leg,https://www.gutenberg.org/ebooks/51320,"Harmon, Jim",28-Feb-16
The Grand Inquisitor,https://www.gutenberg.org/ebooks/8578,"Dostoyevsky, Fyodor","July, 2005"
"Woodwork Joints: How they are Set Out, How Made and Where Used.",https://www.gutenberg.org/ebooks/21531,"Fairham, William",19-May-07
To The Fore With the Tanks!,https://www.gutenberg.org/ebooks/51332,"Westerman, Percy F. (Percy Francis)",29-Feb-16
Memories of the Kaiser's Court,https://www.gutenberg.org/ebooks/51290,"Topham, Anne",24-Feb-16
I Am A Nucleus,https://www.gutenberg.org/ebooks/51330,"Barr, Stephen",29-Feb-16
Turkey; the Awakening of Turkey; the Turkish Revolution of 1908,https://www.gutenberg.org/ebooks/51329,"Knight, E. F. (Edward Frederick)",29-Feb-16
Not a Creature Was Stirring,https://www.gutenberg.org/ebooks/51396,"Evans, Dean",8-Mar-16
My Life and Work,https://www.gutenberg.org/ebooks/7213,"Ford, Henry","January, 2005"
Siddhartha: eine indische Dichtung,https://www.gutenberg.org/ebooks/2499,"Hesse, Hermann","February, 2001"
The Portrait of a Lady � Volume 1,https://www.gutenberg.org/ebooks/2833,"James, Henry","September, 2001"
Lord of the World,https://www.gutenberg.org/ebooks/14021,"Benson, Robert Hugh",11-Nov-04
Nature,https://www.gutenberg.org/ebooks/29433,"Emerson, Ralph Waldo",17-Jul-09
Fundamental Principles of the Metaphysic of Morals,https://www.gutenberg.org/ebooks/5682,"Kant, Immanuel","May, 2004"
The Shunned House,https://www.gutenberg.org/ebooks/31469,"Lovecraft, H. P. (Howard Phillips)",2-Mar-10
Up from Slavery: An Autobiography,https://www.gutenberg.org/ebooks/2376,"Washington, Booker T.","October, 2000"
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",https://www.gutenberg.org/ebooks/2981,"Casanova, Giacomo",2-Nov-06
A Tramp Abroad,https://www.gutenberg.org/ebooks/119,"Twain, Mark",Jun-04
Letters of Pliny,https://www.gutenberg.org/ebooks/2811,"Pliny, the Younger","September, 2001"
Helps to Latin Translation at Sight,https://www.gutenberg.org/ebooks/28890,"Luce, Edmund",20-May-09
Erotica Romana,https://www.gutenberg.org/ebooks/7889,"Goethe, Johann Wolfgang von","April, 2005"
Voyage to Far N'jurd,https://www.gutenberg.org/ebooks/51344,"Neville, Kris",2-Mar-16
"History of Tom Jones, a Foundling",https://www.gutenberg.org/ebooks/6593,"Fielding, Henry","September, 2004"
Micrographia: Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses with Observations and Inquiries Thereupon,https://www.gutenberg.org/ebooks/15491,"Hooke, Robert",29-Mar-05
